Season_Epi_code,Pitched_Business_Identifier,Pitched_Business_Desc,Deal_Status,Deal_Shark
614,Hoppy Paws,"stamp kits for simulating tracks left by holiday characters such as Santa's reindeer or the Easter Bunny . Create a new family tradition this Christmas and surprise your children with proof of a visit from Santa with Hoppy Paws stamp kit. Hoppy Paws â€œSantaâ€™s Reindeer Hoof Print Stamp Kitâ€ includes a stamp kit, mixing tray and a secret powderÂ to create a life sized, realistic Santaâ€™s reindeer hoof print. Hoppy Paws will also offer more of a library next year with Santaâ€™s Elf, the Easter Bunny, the Tooth Fairy and more!",1,BC
614,Q-Flex,"a personal acupressure device . Â Suffer from body soreness? Wife wonâ€™t give you a massage? A self acupressure massage device, the Q-Flex is designed to relieve common stress and tension by simply applying pressure to specific points of your body. It isÂ light in weight, durable and so easy anyone can use it. The Q Flex AcupressureÂ is made from high quality polycarbonate material which lets the device bend just enough without breaking.",1,BC
614,The Mensch on a Bench,"an alternative to The Elf on the Shelf for Jewish families . Another tradition for Hanukkah intended to bring families together, Mensch on a Bench was created by a father who wanted to teach his kids the meaning of the Jewish holiday, all while starting a new holiday tradition. The Mensch on a Bench set includes a 12â€³ plush Moshe doll, a hardcover book and removable bench.",1,LG+RH
613,Biaggi,"a line of collapsible, folding luggage designed to save space when not in use . EveryoneÂ with traditional luggage wishes that when they are not traveling their luggage would just disappear. Itâ€™s bulky, awkward and takes up way too much space. Enter . A line of collapsable, convenient, folding wheel luggage thatÂ you can easily store anywhere in the house when youâ€™re not using it.",1,LG
613,Gameday Couture,"fashionable sports team wear for women . Lady alumni, love sports but hateÂ the clothing? Well, the answer to your ugly jersey wearing woes has arrived. Gameday Couture has created aÂ fashion lineÂ of collegiate gameday apparel designed specificallyÂ for women. With over 35 university licenses available, finally you can proudly represent your team in style!",1,MC
613,Soaps Washes and Grooming Essentials,"an exfoliating and moisturizing soap bar specially formulated for men . From an award winning estheticianÂ comeÂ Soap Washes and Grooming Essentials. SWAG for short, are soapÂ products for men that exfoliate and moisturize sensitiveÂ skin to reduce razor burn and hair bumps. Itâ€™s natural, handcrafted, contains high quality ingredients and Barber and Physician approved.",0,
613,Zipz,"a proprietary container and brand for a single serving of wine, similar to Copa di Vino but in a resealable glass . Zipz Wine is the industryâ€™s answer to portable single serving wine that aluminum cans were for the soda industry.Â Its container is extremely durable with a high quality plastic vessel that looks identical to glassware. Zipz also has a patented CleanWrap technology that preserves the freshness and shelf life of this revolutionary wine product.",1,KOL
612,Earth Log,"an environmentally friendly recycled firelog . an organic, cleaner-burning firelog with better odors",1,LG
612,Kitchen Safe,"a container with a timer-lock closure to keep tempting food or items out of reach . Say hello to Kitchen Safe, the time locking container. Toted as a tool to build good habits and self discipline, the Kitchen Safe is intended to do more than just lock away the cookies from little Johnny until after dinner. Get creative with the TV remote and Xbox controller too. Man am I glad this wasnâ€™t invented during the 90s.",1,LG
612,MagicCook,"a portable cooking device that uses an instant heat pack to cook foods or liquids, not requiring power or fire . The Magiccook is a container that uses an instant heat pack to cook foods or liquids conveniently. Itâ€™s perfect for camping, fishing, hunting, boating, truck drivers, construction workers, field workers, hiking, at the office desk, anytime on the go, emergency situations and more.",1,DJ
612,Off the Cob,tortilla chips made with sweet corn instead of grain corn . corn tortilla chips manufactured from sweet corn as opposed to grain corn,0,
611,Bantam Bagels,"mini bagel balls filled with varieties of cream cheese . Bagel lovers UNITE! Bantam Bagels are compact ball shaped bagels pre-filled with artisan cream cheese. With 15 flavors ranging from your traditional â€œEverythingâ€ to â€œCookies and Milkâ€, these mini New York bagels are crispy, chewy and convenient. Perfect morning snack for when you are on the go and do not want to deal with the messy process of applying the cream cheese yourself. You are all in for a treat.",1,LG
611,Coffee Meets Bagel,"an online dating service that uses social media aspects to match singles . While it is easy to say â€œyetâ€ another dating app,Â contrast to the hookupÂ friendlyÂ  and Â offers another take at the realm of online dating. The conceptÂ ofÂ Â is simply getting setup with a profile andÂ networking through your social circle of friends to find a potential love interest. It takes out the arguably strange and shameful stigma that comes with the territory of online dating, and instead brings in a bit of that human element. It can virtually be compared to meeting a friend of a friend at a dinner party.",0,
611,Doorman,"a service that re-delivers packages ordered online during hours convenient to the customer . Never miss a package delivery ever again!  allows you toÂ schedule deliveries as late as midnight, 7 days a week! Perfect it you work late or do not want to be strapped to the inconvenient traditional delivery times. Try your first package for free with the ",1,RH
611,SkinnyShirt,"a cross between a button-down shirt and a camisole specially designed to reduce bulk .  SkinnyShirt gives you a collared shirt without the clunky bunchiness a normal collared shirt gives you. Skinny Shirt is perfectly knit cami combined with a favorite button down. 90% nylon and 10% spandex, the SkinnyShirt body is a stretchy knit that smoothes and better shapes around your figure. It can be paired with just about anything in your closet such as v-necks, crew necks, cardigans, shift dresses, blazers and more.",0,
610,Heidi Ho,"a dairy-free line of plant-based cheese spreads . If you are on a dairy-free diet and miss being able to eat cheese, Heidi Ho offers a dairy-free line of plant-based cheese spreads.  Heidi Ho products are dairy and gluten free, & many of them are also soy free. The cheese is made from organic nuts, seeds, vegetables, and herbs and spices.",1,LG
610,Pipsnacks,"a line of organic mini-popcorn snacks . Love the branding and packaging with this product. All natural, gluten free and selected as Oprahâ€™s â€œfavorite thingâ€ in 2012, Pipcorn is a delicious alternative to popcorn. The snack is non-GMO, vegan friendly and whole grain. Best of all? It does not get stuck in your teeth! Pipcorn is available in Truffle, Sea Salt, Kettle and Rosemary flavors.",1,BC
610,Squatty Potty,"a footstool that puts the user of a western toilet in a squatting position for more natural, healthier bowel movements . Apparently, weâ€™ve been going to the bathroom all wrong! As ridiculous as it sounds, bad toilet posture negatively affects your health (consitipation, hemorroids, bloating, IBS, etc.). Use the toilet right with Squatty Potty for fast and easy elimination. Ecco and Tao Bamboo are available in both 7â€³ and 9â€³ sizes.",1,LG
610,Storm Stoppers,protective window coverings for use during hurricanes as an alternative to plywood . Storm Stoppers are protective window coverings for use during strong storms or hurricanes as an alternative to plywood. The product is lightweight and you do not need screws or bolts to install them.  ,0,
609,Beardbrand,"a kit of facial hair maintenance products . While Lori Greiner does not get the beard thing, that doesnâ€™tÂ negate the fact Beardbrand created some solid grooming products for the lifestyle. Established in 2012, BeardbrandÂ produces beard oils that are made from high quality all natural ingredients that soften, give shine and smell great.",0,
609,Myself Belts,a velcro belt specially designed for young children . a velcro belt specially designed for young children,1,DJ
609,SingTrix,a karaoke system with pitch correction and various vocal effects . The guys that created Guitar Hero whipped up another gem with SingTrix. SingTrix is a decked out karaoke system with pitch correction technology and includes various vocal effects to make you sound like a legitimate rock star. You no longer have to down the hard stuff just to gather the courage to sing a few tunes.,0,
609,Titin,"a weighted workout shirt designed to increase exercise performance . Titin is a comfortable, weighted workout shirtÂ perfect forÂ the fitness buff.Â It is naturally fitted and geared to focus on the surrounding upper body major muscle groups. Titin is mentioned toÂ noticeably increase your endurance, running speed and overall athleticism.",1,DJ
608,Bottle Breacher,"beer bottle openers made from 50 caliber bullets . Do you or someone you know have issues opening bottles with style? Bottle Breachers can help fix that with their handcrafted 50 caliber bottle openers. Not only do they look cool on their own, but they can look even better with some personalized engraving.",1,KOL+MC
608,Man-Pack,"a multipurpose messenger bag for men . Men, do you wish you had a manly bag that you could use to hold all of your daily essentials? Man-Pack is your answer. Itâ€™s a multipurpose messenger bag for men.  Man-Packs are available in either canvas or leather. They are designed to hold a laptop or tablet, a water bottle, flashlights, pens, and other various items.",0,
608,Priority One Canine,professionally trained canine bodyguards . Ever wished you could have a bodyguard to protect you and your loved ones? Priorty One Canine offers professionally trained canine bodyguards. The dogs are not simply guard dogs but are well-trained family pets.  ,0,
608,The Natural Grip,a hand grip designed to help the user better handle fitness equipment . Natural Grips were designed to protect your palms from rips when lifting weights and crossfit training. The grips are made from a 100% zinc oxide cotton tape and are available in a variety of sizes and colors. a hand grip designed to help the user better handle fitness equipment,1,RH
607,Bottle Bright,an effervescent tablet for cleaning water bottles and other drinking containers ,1,LG
607,Evrewares,"reusable fabric sticker accessories such as humorous ties . Conceived from a mix passion for art and innovation (and admittedly some red wine),  are the Worldâ€™s First Sticky Accessory to the Plain White Tee. Far from a traditional stricker, evREwares are durable, reusable, interchangeable and do not leave any left-over sticker residue when removed. They are easy to take off and put right back on for creative repositioning. evReware ties come in a variety of stickers perfect for babys, kids and adults alike!",1,MC
607,Scratch & Grain Baking Co.,"kits with premeasured natural ingredients for making homemade cookies . Started by an unfortunate baking experience involving a mom, her kids and cookies that tasted like cardboard, Scratch & Grain Baking Company offers baking kits for amazingly delicious treats.  contain all-natural and GMO-Free ingredients. Most of these ingredients are certified organic and kids wonâ€™t even taste the difference because they are that good. Some of the Scratch and Grain baking kit flavors include Chocolate Chip, Classic Sugar, Oatmeal Raisin, Snicker Doodle, Chocolate Truffle and Chewy Peanut Butter!",1,BC
607,Vestpakz,"a combination backpack and vest for schoolchildren . Vestpakz, an innovative and quality back pack was originally invented by an inspired Sixth Grader, Christen Wooley about 15 years ago. Vestpakz saves space and protects your back even more importantly. They are perfect for school or plain recreational fun. The Vestpak is licensed by  back pack and comes equipped with two front zippered pockets and side slip pockets. It is lightweight and the fabric is water fabric. A really cool product created by an American young mind!",0,
606,FunCakes Rental,fake wedding cakes . fake wedding cakes,0,
606,Paper Box Pilots,"decorative stickers to make cardboard boxes look like vehicles . It really it true that all kids can have fun with a cardboard box. The possibilities are endless. Paper Box Pilots expands on this ideaÂ with their cardboard kits (includes box, stickers, guide and plans) that build out to look like a realÂ airplane, firetruck and race car. Your kids will love it.",1,KOL
606,Reviver,"freshening wipes for masking odors on clothing . Reviver offers freshening wipes for masking odors on clothing from the likes of smoking, that morning workout, and lunch at the Fish House. These wipes are for your clothes what gum is for your breath. Reviver also has wipes available for household pets that donâ€™t take too kindly to bath time.",1,LG
606,Table Jacks,a way to fix wobbly tables . a way to fix wobbly tables,0,
605,Jungle JumpaRoo,"a play structure for kids . Jungle Jumparoo is that backyard play structure that all the kids in the neighborhood gravitate to. Perfect for all ages to climb, swing, bounce and jump all at the same time, the Jungle Jumparoo has a safe sturdy base and encourages fun exercise for children. 10 minutes jumping on this thing is the equivalent to 33 minutes running.",0,
605,SunStaches,"novelty sunglasses with attached facial accessories . Got a party to attend, but want to hide your everyday identity â€“ Sun Staches has what you need â€“ sunglasses with mustaches â€“ novelty sunglasses with attached facial accessories.",1,DJ
605,The Caddy Girls,a company that provides all-female golf caddys . a company that provides all-female golf caddys,0,
605,The Red Dress Boutique,"an online mail-order service for afforable, fashionable outfits . an online mail-order service for afforable, fashionable outfits",1,MC+RH
604,BeatBox Beverages,"an innovative brand of box wine . Beatbox is an innovative, vibrant wine based cocktail compacted into a nifty old school boom box looking thing. Made with orange wine,Â each BeatBox contains over 7 bottles worth of mixed drink. It comes in Blue Razzberry Lemonade, Crandberry Limeade, Box Aâ€™Rita and Texas Sweet Tea flavors. Letâ€™s get this party started.",1,MC
604,EmergenSee,a personal security system smartphone app . a personal security system smartphone app,0,
604,Honeyfund,a crowdfunding service that allows wedding guests to donate money toward the honeymoon trip rather than purchase traditional gifts . a crowdfunding service that allows wedding guests to donate money toward the honeymoon trip rather than purchase traditional gifts,1,KOL
604,Oilerie USA,a chain of specialty olive oil stores . a chain of specialty olive oil stores,0,
603,DrumPants,"touch sensors you wear on your body that play music . With touch sensors you wear on your body, DrumPants is wearable technology that triggers over 100 built-in sounds including percussion, synthesizers, pianos and more.Â Jam anywhere with your headphones or external speakers and record your beats via apps like Loopy. Use DrumPants to play music in new ways and change the way you interact while out in the world today!",0,
603,Heart Pup,"a wearable sling for carrying a dog . Heart Pup is a fashionable, convenient and wearable scarf sling made from Italian cashmere wool. The dog sling comes with ergonomic wide knit fabric straps on both shoulders and holds your pet handsfree up to 26 pounds. With a Heart Pup dog carrier, take your best animal friend out and about with you where ever you go.",1,DJ
603,Ninja Cards,a game similar to darts that uses special throwing cards . Like darts? Like Ninjas? Well then do we have the perfect recreational activity for you. Ninja Cards is an addictive target card throwing game that is fun for all ages. The game comes with one 24Ã—24 board and one pack of 15 throwing cards.,0,
603,SoapSox,"plush toys that work as bath sponges . SoapSox washcloths are plush toys and the next generation of bath time washcloths for kids. Invented by two dads and approved by moms everywhere, your kids will have fun in the bath with these soft, vibrant and colorful animal characters and get clean at the same time. Great for the nervous little bathers.",0,
602,Kronos,"premium golf putters . For all you golfers who happen to be Kill Bill fans, Kronos is like the Hattori Hanzo of golf putters. For anyone else who doesnâ€™t get the reference, Kronos are beautifully designed, hand polished, premium built,  golf putters. They are assembled by the worldâ€™s finest craftsmen using only the best techniques with the highest quality materials. Not all putters are created equally.",1,RH
602,Roominate,"a construction set toy . Roominate is a brain stimulating, award winning toy perfect for aspiring young kids who love to learn and have fun. ItÂ is affiliated with STEM, touching on critical thinking within the Science, Tech, Engineering and Math fields. Roominate is toted as an open-ended version of LEGOs.",1,LG+MC
602,The Floating Mug Co.,"mugs and glasses with built-in coasters . Grand in idea yet simple and functional in design, The Floating Mug is aÂ smart mug that lets moisture roll down the side instead of building up liquid and spilling on you at the base. This is an absolute winner of a gift, especially for folks who have grown accustom to coffee spillage while on the go or at the office desk.",0,
602,Wedding Wagon,a van used as a mobile wedding chapel . a van used as a mobile wedding chapel,0,
601,Amber,a cellphone charging station . a cellphone charging station,0,
601,Bombas,"quality athletic socks . Bombas are really REALLY comfortable and quite possibly the only socks youâ€™ll ever want to wear for the rest of your life. BombasÂ are offered in ankle and calf form and they come in different sizes. There is an assortment of colors and they are available for Men, Women and Kids.",1,DJ
601,Hammer & Nails,a masculine nail salon . a masculine nail salon,0,
601,Sleeping Baby,"sleepwear for newborns that imitates the protection of the womb so they don't wake as easily . Any parent who has been through the rounds of raising a newborn knows how important swaddling a baby is. Swaddling isÂ the art of snugly wrapping a baby in a blanket for warmth and security, imitating their environment in the womb. Sleeping Baby is fantastic because itâ€™s swaddle-like, easy and wearable ready to go sleepwear.",1,DJ
529,Baker's Edge,innovative baking pans and accessories ,0,
529,BZbox,collapsible storage boxes . collapsible storage box design,1,LG
529,Foot Fairy,an iPad app which measures your child's foot size . an iPad app which measures your childâ€™s foot size,1,MC
529,Tie-Not,a water balloon filling and tying device . water balloon filler and tying device,0,
528,Bon Affair,a premium wine spritzer . a premium wine spritzer,1,MC
528,Cinnaholic,custom gourmet cinnamon rolls . custom gourmet cinnamon rolls,1,Others
528,Hargitt Marine Services,a treasure hunter who wants funding to salvage cargo from a sunken ship . a treasure hunter who wants funding to salvage cargo from a sunken ship,0,
528,Oru Kayak,"a kayak that can be folded into a compact suitcase . This is not just any ordinary Kayak. Itâ€™s a foldable, portable Kayak that performs with the best of â€˜em. All you need is 5 minutes to take it from backpackÂ to a boat. Aside from its convenience, itâ€™s highly durable as well. The Oru is offered in two models. The Bay and the premium Bay+.",1,RH
527,Angellift,facial lifting strips . facial lifting strips,1,LG
527,HangEase,a folding plastic clothes hanger . a folding plastic clothes hanger,1,Others
527,Susty Party,eco-friendly party supplies . eco-friendly party supplies,0,
527,The Bouqs Company,simplified floral bouquets . simplified floral bouquets,0,
526,Cerebral Success,"a brain supplement designed to enhance focus, memory, and mental energy . a brain supplement designed to enhance focus, memory, and mental energy",1,BC
526,Crio,a brewed drink made from cocoa beans . brewed drink made from cocoa beans,0,
526,Mo's Bows,handmade bowties . handmade bowties,0,
526,Rugged Maniac,an obstacle race event . an obstacle race event,1,MC
525,Fort Magic,a building and construction toy . a building and construction toy,0,
525,iLumi,"a versatile home lighting system controlled from a smartphone . Toted as the worldâ€™s smartest lights, iLumi is pre-programmed LED lighting that can be screwed into any existing fixture and wirelessly controlled by phone app. iLumi allows you to really set the mood and customize the lighting for every setting type. Great features are its simulated sunrise and ability to sync to the beat of any music.",1,Others
525,Intelli-Stopper Technology,a wine bottle stopper with an indicator that shows if there is air inside . a bottle stopper with an indicator that shows if there is air inside,0,
525,ZooBean,a subscription service for children's books . subscription service for childrenâ€™s books,1,MC
524,Fun Time Express,a trackless train ride for malls . a trackless train ride for malls,1,KOL+LG
524,PowerPot,a cooking pot that generates electricity as you heat up water . a cooking pot that generates electricity as you heat up water,1,MC
524,Quickstop Fire Sprinkler Tools,a simple tool to immediately stop water from a fire sprinkler . a simple tool to immediately stop water from a fire sprinkler,0,
524,Taylor Robinson Music,an online platform for finding music instructors . an online platform for finding music instructors,0,
523,Happy Feet,"fanciful slippers . If you are a slippers in the home kind of person, Happy Feet areÂ right up your alley. With superior quality and uniquelyÂ plumpÂ by design, Happy Feet slippers are ULTRA comfortable fuzzy slippers for both him and her. They are available in the Original Happy Feet design, Animal Characters, Holiday Themed Animals and your favorite sports teams. Aside from looking damn comfortable, these fat slippers keep your feet warn.",1,RH
523,Hold Your Haunches,leggings with a built-in shaper . leggings with a built-in shaper,1,BC+LG
523,Lord Nut Levington,gourmet peanuts . gourmet peanuts,0,
523,Velocity Signs,robotic sign waving machines . robotic sign waving machines,1,KOL+MC+RH
522,Kodiak Cakes,a whole grain flapjack and waffle mix . a whole grain flapjack and waffle mix,0,
522,Monkey Mat,a portable fabric floor covering . a portable fabric floor covering,1,LG+MC
522,Plated,a service that delivers pre-measured ingredients for various recipes to your door . a service that delivers pre-measured ingredients for various recipes to your door,1,MC
522,The Paint Brush Cover,a device that prevents paintbrushes from drying out . a device that prevents paintbrushes from drying out,1,LG
521,Chapul,energy bars made with cricket proteins . energy bar made of cricket proteins,1,MC
521,Garage Door Lock,a locking system for garage doors . garage door locking system,1,DJ
521,MorningHead,a cap for curing bed head hair . a cap for curing bed head hair,0,
521,Packback Books,a digital textbook rental service . a digital textbook rental service,1,Others
520,Boo Boo Goo,"a colored, waterproof liquid bandage . a colored, waterproof liquid bandage",1,KOL
520,Define Bottle,a water bottle specially designed for infusing fresh fruit flavor . a water bottle specially designed for infusing fresh fruit flavor,0,
520,Henry's Humdingers,spicy flavored honeys . spicy flavored honeys,1,MC+RH
520,iReTron,an electronics recycling service . electronics recycling service,1,BC+MC
519,RevoLights,"an innovative lighting system for bicycles . Menâ€™s Journal calls it â€œThe best bike lighting system in the world.â€ Revolights doesnâ€™t just look cool, it operates cool too. Revolights is revolutionary design for bikes that provides a fully functional headlight, brakelight and true 360 degree visibility. Some other awesome features is that it is water resistant, theft resistant and charges via USB connectivity.",1,RH
519,Squeeky Knees,clothing for crawling babies with built-in squeakers in the knees . clothing for crawling babies with built-in squeakers in the knees,0,
519,The Buffer Bit,a shoe buffing pad that attaches to a power drill . a shoe buffing pad that attaches to a power drill,0,
519,U-Lace,interchangeable mix and match shoelaces for easily changing the look and style of sneakers . interchangable mix and match shoelaces for easily changing the look and style of sneakers,1,MC
518,Bambooee,bamboo paper towels that are washable and reusable . bamboo paper towels that are washable and reusable,1,LG
518,Buzzy4Shots,a device that uses vibration to numb skin in preparation for medical shots . a device that uses vibration to numb skin in preparation for medical shots so they donâ€™t hurt,0,
518,Cheek'd,a unique dating service ,0,
518,ZipIt,a fitted sheet and sleeping bag combo for making beds quickly and easily . a fitted sheet and sleeping bag combo for making beds quickly and easily,0,
517,DDP Yoga,a fitness program based on yoga developed by former pro wrestler Diamond Dallas Page . a fitness program based on yoga developed by former pro wrestler Diamond Dallas Page,0,
517,Moberi,a bicycle-powered juice and smoothie cart . a bicycle-powered juice and smoothie cart,0,
517,Southern Culture Artisan Foods,specialty pancake and waffle mixes . specialty pancake and waffle mixes,1,BC
517,Spy Escape and Evasion,a spy school via seminar classes that teach defense tactics . a spy school via seminar classes that teach defense tactics,1,DJ
516,Cow Wow Cereal Milk,flavored milk that tastes like what's left at the bottom of a bowl of cereal . flavored milk that tastes like whatâ€™s left at the bottom of the cereal bowl,0,
516,Cycloramic,an app that takes 360-degree pictures by making the phone spin itself around . app that takes 360-degree pictures by making an iPhone spin itself around,1,LG+MC
516,Nexersys,a fitness and gaming platform . fitness and gaming platform,0,
516,The Cookie Dough Cafe,cookie dough in a jar that is designed to be eaten raw . cookie dough in a jar that is designed to be eaten raw,1,LG
515,FitDeck,custom playing cards for exercising . custom playing cards for exercise,0,
515,Freshly Picked,moccasins for babies . moccasins for babies,1,DJ
515,LifeCaps,emergency nourishment pills . emergency nourishment pill,0,
515,SwimZip,children's swimwear with UV sun protection . childrenâ€™s swimwear with UV sun protection,1,LG
514,Alaska Glacial Mud Co.,a facial mask made from Alaskan glacial mud . a facial mask made from Alaskan glacial mud,0,
514,Balloon Distractions,a business that provides balloon artists to restaurants to entertain customers while they wait for their food . a business that provides balloon artists to restaurants to entertain customers while they wait for their food,0,
514,InvisiPlug,powerstrips designed to blend in with hardwood floors . powerstrips designed to blend in with hardwood floors,1,LG
514,LockerBones,customizable shelving for school lockers . customizable shelving for student lockers,1,LG+RH
513,Bounce Boot Camp,a company that uses inflatable bounce houses as fitness equipment for children . a company that uses inflatable bounce houses as fitness equipment for children,0,
513,EyeBloc,a plastic cover for laptop webcams . a plastic cover for laptop webcams,0,
513,GrooveBook,a service that creates photobooks from your smartphone photos . a service that creates photobooks from your smartphone photos,1,KOL+MC
513,The Wall DoctoRX,an easy way to patch holes in walls . an easy way to patch holes in walls,1,RH
512,Cashmere Hair,"a luxury hair extension company . Cashmere Hair offers award winning, luxury hair extensions. They are of the highest quality superior remy human hair and undetectable, looking like your real hair.Â Cashmere Hair extensions are easy to clip in, very comfortable and full in design. Women, if hair extensions are apart of your style try the quality in Cashmere Hair!",0,
512,Lite-Netics,"magnetic Christmas lights . A revolutionary Christmas light product that uses magnets instead of traditional fasteners for simple installation,Â Lite-Netics have been tested to hold up against high wind forces, heavy rain, snow and other elements of the outdoors. Lite-Netics saves you labor intensive installation and from having to purchase other costly traditional attachment accessories.",0,
512,One Life Products,a Hanukkah tree topper for interfaith families ,1,DJ
512,Tipsy Elves,"a line of holiday clothing . Want to win the nicest ugly sweater contest? Tipsy Elves has created a line of clothing themed around the Christmas holiday and it is awesome.Â These are ugly Christmas sweaters on steroids. Tipsy Elves also has themed dresses, cardigans, pajamas and college alumni sweaters. Products available for Women, Men and Kids.",1,RH
511,De-Boned Baby Back Rib Steak,ribs with the bones removed so they can be eaten with a knife and a fork . ribs with the bones removed so they can be eaten with a knife and a fork,1,DJ
511,FoHawx,a line of accessories that attach to bike helmets . a line of accessories that attach to safety helmets,0,
511,SpiritHoods,furry hoods that resemble animals . furry hoods that resemble animals,0,
511,Virtuix Omni,a virtual reality platform that allows free movement . a virtual reality platform that allows free movement,0,
510,Chocomize,customizable chocolate bars . customizable chocolate bars,0,
510,Grace and Lace,knitted boot socks . knitted boot socks,1,BC
510,PurseCase,a mini purse cell phone case that carries your smartphone and a few essentials . mini purse cell phone case that carries your smartphone and a few essentials,1,LG
510,Yubo,personalized lunchboxes that are easy to clean . personalized lunchboxes that are easy to clean,1,KOL+RH
509,DoorBot,a doorbell with a camera and speaker that connects to your smartphone . a doorbell with a camera and speaker that connects to your smartphone,0,
509,Magic Moments,an app that allows you to put your photos on products that you can sell . iPhone application that allows you to put your photos on products that you can sell,0,
509,Slawsa,a cross between a coleslaw and a salsa . unique cross between a coleslaw and a salsa,0,
509,Surprise Ride,a monthly box of themed educational activities for children . a monthly box of themed educational activities for children,0,
508,BellyBuds,"speakers for playing music to the womb of expectant mothers . Your baby is already listening at just 20 weeks in the womb. Start the bonding even sooner with Bellybuds. Featured on shows like Modern Family and Keeping Up With the Kardashians, Belly Buds lets you share music, voices and other brain stimulating sounds before the birth of your baby.",0,
508,Paparazzi Proposals,a paparazzi-style photography business that captures your proposal without being seen . rent-a-paparazzi photography business that captures your proposal without being seen,1,Others
508,PetPaint,"colored hairspray for dogs . PetPaint is colored hairspray for your dog. Color him up for the big game, holiday event and more. Itâ€™s safe and rigorously tested. Itâ€™s the safest alternative to dog costumes and dog clothing, Veterinarian approved. The paint dries quickly within 20-30 seconds and can easily be washed off with mild shampoo and water.",0,
508,Schulzies Bread Pudding,bread pudding desserts . bread pudding desserts,0,
507,180Cup,a beer cup that doubles as a shot glass . beer cup that doubles as a shot glass,1,DJ
507,Better Life,100% natural cleaning products . 100% natural cleaning products,1,LG
507,Kymera Body Board,electric powered body boards . electric powered body boards,0,
507,Tree-T-Pee,a device for watering trees more efficiently . a device for watering trees more efficiently,1,Others
506,Elephant Chat,a literal elephant in the room to aid communication between spouses . a literal elephant in the room,0,
506,FiberFix,"super strong duct tape . 100 times effectively stronger than duck tape, with FiberFix you truly can fix just about anything. No really, just about anything. From sawed in half bikes toÂ leaky pipes and hoses, FiberFix is an inexpensive all around useful tool to have around the house at all times. Try it once and youâ€™ll never go back to duck tape.",1,LG
506,Ten Thirty One Productions,an entertainment company specializing in horror attractions . entertainment company specializing in horror attractions,1,MC
506,Total Merchant Resources,a company that provides small business loans . a company that provides small business loans,1,KOL
505,Bare Ease,hair removal numbing cream and underwear . hair removal numbing cream and underwear,0,
505,Rent A Goat,a goat renting service for an environmentally friendly way to take care of your lawn . goat rental for an environmentally friendly way to take care of your lawn,0,
505,RuffleButts and RuggedButts,a children's clothing line . childrenâ€™s clothing line,1,LG
505,Veggie Mama Garden Pops,"popsicles containing fruits and vegetables, sweetened with agave nectar . popsicles containing fruits and vegetables, sweetened with agave nectar",1,BC+MC
504,Hamboards,skateboards that ride like a surfboard . skateboards that ride like a surfboard,1,RH
504,Scan,a QR code application . a QR code application,0,
504,ScreenMend,window screen repair patches . window screen repair patch,1,LG
504,Sunday Night Slow Jams,a love songs radio show . a love songs radio show,0,
503,Fairytale Wishes,aromatherapy sprays for children . aromatherapy sprays for children,0,
503,Kookn' Kap,"a breathable, non-flammable cooking cap to keep aromas out of your hair . a breathable, non-flammable cooking cap to keep aromas out of your hair",0,
503,Rapid Ramen Cooker,a specially designed bowl for cooking ramen noodles . a specially designed bowl for cooking ramen noodles,1,MC
503,The Freeloader,a piggyback carrier for children . piggyback carrier for children,1,RH
502,Breathometer,a smartphone breathalyzer . a smartphone breathalyzer,1,DJ+KOL+LG+MC+RH
502,Kane & Couture,designer dog apparel and accessories . designer dog apparel and accessories,1,DJ+LG
502,Man Medals,medals for men doing chores . medals for men doing chores,0,
502,Mango Mango,mango preserves . mango preserves,0,
501,Lynnae's Gourmet Pickles,specialty pickles . specialty pickles,0,
501,Postcard on the Run,a mobile app for sending postcards . a mobile app for sending postcards,1,RH
501,RoloDoc,a system for upgrading communication between patients and medical professionals . a system for upgrading communication between patients and medical professionals,0,
501,Sweet Ballz,cake balls . cake balls,1,BC+MC
426,Ryan's Barkery,all-natural dog treats ,1,BC
426,Three Day Rule,an invite-only dating website . invite-only dating website,0,
426,Tom + Chee,a gourmet grilled cheese sandwich restaurant . gourmet grilled cheese and tomato soup restaurant,1,BC+MC
426,VerbalizeIt,a translator service . a translator service,1,KOL
425,Baby's Badass Burgers,a food truck company wanting to expand into a storefront ,0,
425,KaZAM,a non-pedal bike for helping children learn to ride . Kazam is a balance bike and a confidence builder for young kiddos learning how to ride. Itâ€™s designed to teach kids balance and momentum before they learn how to pedal on a traditional bike. Kazam is friendly for the 2-5 age range and a veryÂ cool alternative to training wheels.,1,BC+MC
425,Pink Shutter Photobooths,party photobooths . party photobooths,1,BC
425,Track Days,a potential movie idea involving motorcycle racing . a potential movie idea involving motorcycle racing,0,
424,Mee-Ma's Louisiana Gumbo Brick,a frozen gumbo base ,1,KOL+LG
424,MistoBox,artisan coffees from around the world delivered to your door . artisan coffees from around the world delivered to your door,1,MC
424,Squirrel Boss,a squirrel-proof bird feeder . squirrel proof bird feeder,0,
424,The Vermont Butcher Block & Board Company,premium wooden kitchen products . premium wooden kitchen products,0,
423,Shell Bobbers,"a shotgun shell converted into a fishing bobber . Shell Bobbers was initially an idea spawned when two best friends, Jeff and Dusty were out on a boat duck hunting. After discharging their shotgun, they noticed the empty shell floating straight up in the water. â€˜AHA!â€™. Made in the USA, Shell Bobbers comes 3 in a pack and isÂ perfect for the Bobber Fisher or even as a gift for the fishing enthusiast.",1,MC
